"FullAddress", "Speed"
"112.16.1.200:80","99"
"113.21.72.212:8080","1560"
"101.69.178.145:7777","270902"
"108.59.10.129:55555","1138394"
"112.16.1.200:80","390"
"114.36.20.228:8998","3200"
"114.39.53.187:8998","6217"
"118.114.77.47:8080","10"
"118.244.68.21:80","99"
"123.57.190.51:7777","95"
"120.90.6.92:8080","6432"
"125.135.179.153:8080","8292"
"124.47.7.38:80","14423"
"137.135.166.225:8120","1034"
"137.135.166.225:8123","8289"
"128.199.120.105:80","21819"
"137.135.166.225:8128","11376"
"137.135.166.225:8130","5289"
"137.135.166.225:8132","2028"
"137.135.166.225:8137","746"
"137.135.166.225:8136","2917"
"137.135.166.225:8129","17295"
"151.247.182.221:8080","778"
"139.59.8.208:80","10270"
"154.16.156.7:6588","2036"
"160.228.157.6:80","1968"
"162.144.111.48:80","3094"
"144.76.7.252:80","33994"
"164.132.222.249:80","9512"
"168.63.24.174:8136","1776"
"168.63.24.174:8137","702"
"175.136.219.94:8080","1566"
"175.139.26.122:8080","2943"
"177.207.234.14:80","4393"
"178.155.14.10:8080","770"
"178.158.234.10:8080","753"
"181.48.0.173:8081","1442"
"186.103.193.51:8080","9390"
"194.102.229.246:80","514"
"168.90.43.17:8080","188531"
"195.46.25.226:80","11219"
"196.30.86.138:8080","8988"
"195.207.46.25:8080","23001"
"200.61.176.241:8080","1760"
"201.55.46.6:80","10307"
"202.167.248.186:80","18896"
"210.13.93.206:8080","77"
"203.129.224.79:80","17437"
"212.150.10.130:80","2237"
"212.227.159.39:80","7789"
"210.57.208.14:80","18991"
"212.175.249.171:80","20033"
"213.57.90.10:18000","10408"
"218.107.129.170:80","3850"
"221.195.55.182:8080","26117"
"222.192.88.33:80","19287"
"37.25.127.3:8080","15704"
"40.113.118.174:8146","2217"
"37.59.80.69:8080","35582"
"37.187.136.213:80","57587"
"41.213.192.20:80","12530"
"45.55.206.119:80","3351"
"49.231.247.113:8080","4453"
"40.83.9.40:80","100822"
"5.28.51.158:8080","4161"
"51.254.106.68:80","3263"
"51.254.106.69:80","3773"
"51.254.106.65:80","12808"
"51.254.106.76:80","3800"
"51.254.106.71:80","9803"
"54.175.120.229:80","6326"
"54.80.14.204:80","12129"
"64.137.192.55:19980","3472"
"66.186.2.163:443","380"
"66.186.2.163:80","384"
"67.148.11.168:443","414"
"85.214.95.234:80","6497"
"81.208.32.6:80","17256"
"86.100.118.44:80","1875"
"89.250.207.195:80","3143"
"91.134.230.98:80","23416"
"85.234.4.197:8080","66069"
"93.51.247.104:80","21792"
"1.193.81.125:8888","130"
"1.197.124.68:8888","3165"
"1.199.152.189:8888","3148"
"1.56.136.228:8888","197"
"101.81.239.90:8118","116"
"103.47.193.102:8000","7034"
"105.235.106.59:8080","11863"
"105.235.106.62:8080","10685"
"106.38.251.62:8088","5619"
"106.75.198.201:443","10197"
"95.24.130.71:8888","155463"
"107.151.136.196:80","78393"
"107.151.136.198:80","73445"
"107.151.136.202:80","60456"
"107.151.136.203:80","61160"
"107.151.136.204:80","60475"
"107.151.136.206:80","61462"
"107.151.136.210:80","63411"
"107.151.136.211:80","64184"
"107.151.136.213:80","63404"
"107.151.136.214:80","70876"
"107.151.136.219:80","61149"
"107.151.136.220:80","60451"
"107.151.136.221:80","63464"
"107.151.136.222:80","60460"
"107.151.142.114:80","61378"
"107.151.142.115:80","67356"
"107.151.142.116:80","69365"
"107.151.142.117:80","63385"
"107.151.142.118:80","60385"
"107.151.142.122:80","63384"
"107.151.142.123:80","69361"
"103.14.196.86:8080","901060"
"107.151.142.124:80","72373"
"107.151.142.125:80","60401"
"107.151.142.126:80","63433"
"107.151.152.210:80","67351"
"107.151.152.211:80","61376"
"107.151.152.212:80","60416"
"107.151.152.213:80","63923"
"107.151.152.218:80","60395"
